,Run No,Loss,Reg. Loss,Repeat,TS47,TS49,TS16,TS12,Cl*,H*,CH3CH2*,CH2CH2*,ClCH2CH2*,ClCH2CH2Cl*
0,1,99.9525727324218,0.0,0,19.314817578462204,-6.2630237435460785,-1.021345981670521,35.06677701727759,-32.97962071235284,19.274152209859125,-5.620680330370938,-37.0608936561018,-23.270396051835075,33.67397400894936
1,2,99.99999999999989,0.0,0,35.592133154054935,1.0469844048068637,-24.40409931693452,-5.360292097736789,-22.47873466315433,-36.305189207902785,9.555776990185791,-20.062268020573715,-9.036545109994695,32.11837402075497
2,3,99.89932223612868,0.0,0,-21.924947330839025,-15.230617513952488,-20.576593379630992,25.40339280537185,-17.950070982755328,24.41479002734374,29.047685319173297,-9.72661403993348,14.758417396630001,-17.597904064939414
3,4,99.99824714883673,0.0,0,-19.965007116178562,-39.3259121998413,-19.577214240206867,-18.217038033564226,-27.935611425273756,11.926576959022377,12.316254797435846,-33.094032176934874,-21.386538662011514,10.076347977268924
4,5,99.99956312108702,0.0,0,-9.808855198227114,-38.63155694999798,-27.497152682487123,0.6144033978958277,23.468857763862736,-16.62890506826557,26.285571212906788,-7.542160911664759,14.219621377540214,-22.90122460175699
5,6,99.97599032207351,0.0,0,8.328739749905608,28.37377819701183,27.242105010665114,-17.814456886439878,-1.5841085173267686,21.051941208633373,-31.75827580683201,-34.86318764305616,37.447756866278695,19.309853699369548
6,7,99.99907750732126,0.0,0,3.3128557793619393,-9.214004430355637,31.947050883846074,24.33732928556782,2.3481699427292284,-8.649963592642433,29.968018162163887,23.70184030226423,-10.970691091380125,25.019395635866445
7,8,85.32222518343913,0.0,0,-17.590833947471047,26.548458873785094,-38.4168441879398,20.4709718147473,16.471145899180534,29.341013027522024,-3.601979071064356,0.5342655204658655,12.157553603142155,39.003655761006556
8,9,99.99999992871346,0.0,0,29.19449871297452,-37.1450101183415,2.8813523331296267,-20.301041585359044,-19.757162335211014,-12.80506953007663,2.2419707491897185,26.132046220879644,-14.196831320021882,14.789088141141136
9,10,99.99999999985945,0.0,0,20.49606888288855,36.42099638554126,-25.23947662546029,-10.893290165105157,-11.8170559273236,-30.15518752918203,-32.93230684261873,4.241868820939686,-24.923623143173533,31.768285279610083
10,11,99.99999994057724,0.0,0,-22.152594573235163,9.658161453668498,16.82227936508484,-24.388957595218198,-36.69202884329399,-39.963064562092484,-3.316615651979312,-33.405461955625185,-12.826438956674046,-15.666058380947284
11,12,99.99991350607381,0.0,0,-25.057717931606447,-31.777338724721936,-13.684979264138995,31.421807399311263,25.88237094670589,-27.400166331728446,-9.313621720215043,-2.31324340495528,5.0351486025184755,30.992861568862992
12,13,99.99969912759676,0.0,0,34.54899950656214,-16.85627287756096,-23.192666942834798,26.764705269479123,-28.810479168829097,10.649298858075028,-23.188886660460533,15.136694730474346,17.738046365912027,-6.917073358927318
13,14,99.99916803473077,0.0,0,-1.8475674034826213,22.832301563124837,23.71519475170991,-3.2076305296997702,9.949237751307855,-11.420924399941754,-0.27531883291240433,-37.94130857003768,27.16117436084869,16.42303340224327
14,15,83.67666002561322,0.0,0,-11.026807397212941,-11.883942214758182,33.92531753813002,-33.047943530950576,31.175487669347575,27.919589136144637,-7.057876835351948,-3.976654941540943,-26.462116156959173,-14.295380179266807
15,16,99.9999097200326,0.0,0,15.908402143181881,25.171032377039026,-23.98707077335057,3.130491014196963,30.120252915409495,21.96284362208815,21.316925504815714,-8.552165304252568,-28.006873154507822,9.745395473313962
16,17,99.99990395153029,0.0,0,21.469799537664905,-0.28647926602125295,-28.172456803718113,12.86697674300261,18.50113659283072,10.952840257019652,-33.57199114251231,24.356909571710474,13.35624419949476,-33.37245942516541
17,18,78.80135829681764,0.0,0,-37.99225321685188,7.630278752703319,-2.2403125578590135,34.79243190289611,16.242085158049292,26.026628321252957,-38.03656179876276,-7.176938077103493,-19.019306740523408,14.995022866993175
18,19,99.97750759341417,0.0,0,14.015041551459845,13.874921259749762,-16.10221073876891,23.047653932567968,-23.8139994073746,24.34246369519495,16.782957970530667,31.960313245882773,15.074069198763084,4.351793409371737
19,20,99.99999999995178,0.0,0,33.44892501147666,25.63392072866415,37.78542283638069,3.8382500392539853,37.812872619408665,-25.861881015363565,20.863212733985527,-19.925947840692388,-2.6000270515603177,-26.58462376296218
20,21,99.99897061157417,0.0,0,-27.03366051269299,-32.80455353823502,35.386506589666624,10.636208219058851,-14.202353493641468,-23.62098042344196,-19.16256916167301,-17.73046039679325,-19.3717136593815,4.404838704006153
21,22,99.99938831710416,0.0,0,37.17675449847468,-34.41216170067213,-32.968101912301684,31.93994875257613,-24.700906839295058,25.476965784866834,5.588433327850183,33.94989904796175,30.019758553853322,-11.547263609989002
22,23,99.98218646461636,0.0,0,-32.294681291805155,11.965495849936651,-3.1431114987708852,-30.68571245930634,-20.618858600019387,32.360136001804264,6.639854403369483,-0.13248135763085145,28.103687250260293,-17.059028147913438
23,24,99.9946077955768,0.0,0,-12.855905201030751,-21.274955764786867,-8.888860609256326,-9.55861617755344,27.250572356115867,-9.657319001392885,28.226221694152144,32.64619082844587,15.211586474471162,-24.183619278015126
24,25,99.99997119060062,0.0,0,27.842168803090814,-31.067174570253265,32.13344409153916,30.843990388978128,-20.25148249548838,-3.020448465317294,-5.368255783881104,-22.785175580818386,1.5091542408668488,26.103251859712756
25,26,99.99999999999997,0.0,0,37.85738500889633,11.446006289988418,28.247647853300663,-29.32077710062108,20.728578696090523,-37.97865498195317,-23.911426906270602,-14.36952447638707,-20.569297626005167,36.72428849344294
26,27,99.99996865127123,0.0,0,11.993035915722032,-18.96225095046761,0.3006830883677054,-5.95009947997233,-12.91322839932301,9.275027957046895,-13.088765980554804,-30.231922527999547,-29.447158899187393,-9.397168030686345
27,28,99.90794385189486,0.0,0,-36.446677563517675,-1.2662053943927916,39.577403753564425,-27.15921309622968,-34.38217924858209,-1.9544814574210392,-21.20703302028282,-23.428492490000224,9.798330558834081,-6.281221165685238
28,29,99.99999999302477,0.0,0,32.900481273339764,16.92507246246219,-32.49889777850447,-16.31144131963672,-11.249055810122076,5.228778888065605,23.027261017179647,-1.8389372591300344,-30.626529460404218,-1.4041740155419333
29,30,99.99999999991806,0.0,0,18.17773926297845,-14.90827243225555,-1.320150727040165,36.238107912269314,-26.360502639271857,-32.47809817450266,-26.670255016109525,-21.493344519139345,-10.297701922477629,-12.285315340157425
30,31,618.4998281956017,0.0,0,-23.55639249439237,5.348661830689679,0.7071155910632712,32.381680202971836,33.42209012741253,16.396162478755976,12.675855759631823,21.278372778599596,-3.0363636672332532,-23.349401536550282
31,32,99.99432336268576,0.0,0,-38.0044555644374,32.100309262669214,9.342083755735857,-2.0812150992080376,-30.0848283064698,15.210370317113714,-15.715474192745408,-33.7674564290907,6.59644398452172,-3.0924431911149384
32,33,99.99991993230765,0.0,0,-29.299991294518932,4.301170365991986,-2.7896986070373657,-30.326395919349014,-16.930520630440547,-29.668461676807723,25.73165840071772,7.6605502279971205,17.290322768972494,3.8138716228718366
33,34,99.99999980025693,0.0,0,29.316322462013062,-20.033437658778443,-17.276004515735032,-37.89378133625111,9.249108851779766,35.9069694070966,38.817724662333234,11.26995860359277,15.980774067027177,-17.947865687618258
34,35,99.99999999998957,0.0,0,16.802318957167074,21.873484134328656,-32.10597361468453,-34.3514626177037,22.889797391534387,-37.13385832115323,34.64720452973866,1.2502172439234869,34.586523595683744,39.233634541671975
35,36,99.99991903640274,0.0,0,-0.9841403559626585,-14.507357411503396,-27.724634699045623,-14.187721024609544,-1.0985673002513536,38.785614453335626,20.42319032534911,-24.922928912997058,-35.31539009654861,33.48633078114328
36,37,795.3053400143634,0.0,0,-37.55906622846887,-29.609296340387576,27.617380616685978,2.7369783239825622,39.35682634757215,35.49038353833953,-34.978871208525696,16.133710561997532,-10.464808815180909,27.972257756866185
37,38,99.99944279723385,0.0,0,2.7258476725046705,-15.680089385241047,-15.124501973249128,1.1390801872949723,37.07307921716131,-9.128082280922811,30.02791439140168,-26.450831049439955,32.094208782643946,-1.7768352023024931
38,39,99.99993809745719,0.0,0,39.260429807388576,-23.67841564340054,35.605827492705345,-2.6835384237790265,6.4775391070038,13.33568167395405,-35.993671502861375,33.30119204508807,-34.176113207178346,17.588528187709286
39,40,99.99998250107754,0.0,0,-38.87970217252978,15.341459114826812,33.18415885928802,-14.629775443895383,21.822907292029967,-37.385641437633794,28.613459630433496,-38.46614973124105,26.70018141868934,-0.4195457526325228
40,41,99.92803021081957,0.0,0,2.094325854859008,-28.43846321766945,25.68098521426981,-23.321279801551928,29.545135592231446,5.171579784757256,-7.888403643817206,-31.780180831396574,8.152094598446908,39.97869130784318
41,42,99.93582907791775,0.0,0,-11.944658124082821,10.734799112885405,-19.87424935355438,22.729943424954094,11.818581836280579,-7.631252677806472,0.47736655960596863,9.930854400932915,19.05328370632259,-30.03255928880899
42,43,99.98790325319074,0.0,0,-2.7711951859320934,-0.8418958537075127,5.297779199748653,9.112145409315708,-35.636585939632084,-6.229344336692741,-11.28621703248323,27.94399943663214,-16.714522704948166,30.060182011347067
43,44,99.99997416599734,0.0,0,-32.548112997191375,-21.75100163908003,16.720263863251688,-36.66044066320886,-34.855988820526846,20.49239542371265,10.15330538272211,-14.723099993271141,-29.06266150409023,9.20030575419127
