,0,1,2,3,4,mean,std
N2(T),-20.0,-4.7375688552856445,-20.0,-2.5980148315429688,-20.0,-13.467116737365723,8.029670897792883
N(T),20.0,20.0,20.0,-10.843864440917969,20.0,13.831227111816407,12.337545776367186
TS4_N2(T),-6.528623580932617,18.68170928955078,-12.876615524291992,-0.044036865234375,9.150707244873047,1.6766281127929688,11.199271301161232
N2(S),12.000946044921875,8.329753875732422,10.429048538208008,6.296041488647461,-8.166823387145996,5.777793312072754,7.23319049789435
N(S),18.540233612060547,18.35564422607422,18.522415161132812,18.66176986694336,18.684829711914062,18.552978515625,0.11769253937418929
TS4_N2(S),-11.178670883178711,-11.166401863098145,-11.16767692565918,-11.237908363342285,-11.2356595993042,-11.197263526916505,0.03255689411365119
