,0,1,2,3,4,mean,std
N(S),12.024848937988281,20.0,15.450157165527344,9.24827766418457,16.5076904296875,14.64619483947754,3.709008361206344
H(S),-1.9671802520751953,-0.3877449035644531,-2.1793689727783203,-1.6556205749511719,-0.8061656951904297,-1.399216079711914,0.6887303974103797
NH2(S),-1.3523597717285156,-0.1162567138671875,-1.0543079376220703,-1.7874526977539062,-0.2851829528808594,-0.9191120147705079,0.633472933578974
TS4_N2(S),-20.0,-12.721161842346191,-20.0,-20.0,-13.582182884216309,-17.2606689453125,3.366012130729375
