,Run No,Loss,Reg. Loss,Repeat,N(S),H(S),NH2(S),TS4_N2(S)
0,1,0.9897856538504788,0.00845344096894036,0,2.2064520131552854,8.293457149811623,6.983146318560678,16.330708394233866
1,2,1.0297410336389292,0.0111362955569614,0,12.099906917892177,-12.24376512721811,-9.373151643681513,10.828358539053802
2,3,0.5790509260416662,0.014412547595470013,0,6.423256232000121,18.695531719491015,19.50162420627231,13.029778224116619
3,4,1.1365899066793157,0.010497396427888283,0,-8.398510862648925,13.071792811831024,-15.16161097119341,5.357671065879785
4,5,0.12442756789938166,0.005578332322277967,0,16.27855269450152,1.4963313087596788,4.038733915740597,-0.4997113701100666
5,6,0.984184793819942,0.006632092808809618,0,-6.247221695407923,2.895787052351814,15.806803830575767,1.5785586569029775
6,7,0.9703170220386367,0.008837134887323381,0,-11.165390395265746,-2.933669430053964,13.327589290439576,-7.921890433534234
7,8,1.1032871448682249,0.012548570638137396,0,19.855017160792066,6.531093318744453,9.178611073806572,-14.629560999206479
8,9,0.843402418081609,0.008869133524505137,0,9.148235210984026,4.2600571442365585,-2.6162457720990524,19.451995970700906
9,10,1.004483463852741,0.011240673100137275,0,-13.591095500536966,-10.882620343108497,-7.829911577260443,-12.659064979643196
10,11,0.9497477174362826,0.01405857843073089,0,-15.20646505153866,-17.815322810462405,3.817191006186196,-19.39533485473632
11,12,0.9344514096344071,0.006756177165264909,0,-2.0842209396989944,-8.063476848561205,-11.719226122809532,-5.1577847499898954
12,13,1.1400508163612684,0.011925634302794487,0,-0.6269981446368327,15.17311008100399,-17.627479577244657,14.274949408292478
13,14,0.9000373955379989,0.012388084226567174,0,10.204668857655651,-18.559351013115684,11.38880031545549,9.399516720041863
14,15,1.0385883362201993,0.01494717588838074,0,-17.706488218365774,10.828111975639136,-13.945224813604147,-17.308878545913906
15,16,0.6627992165761767,0.003342479353093213,0,4.5755506771727,-4.243714993141172,-1.9634234453116157,2.5872282967473623
16,17,1.217082978721342,0.014247600321698346,0,-19.165955990594853,-14.922366531993285,16.79535367397107,6.1067250902341605
17,18,0.7270648140844684,0.004340195980281766,0,1.9777221778129928,-6.2107866729923025,-5.8033063323339,-3.368968737987874
18,19,1.1173285793928678,0.012972561939329153,0,-5.660339160870862,17.61478257741905,-19.99977125036531,-8.615354768661373
19,20,0.038809214054003234,0.007096155793536483,0,15.889189511981627,-0.3307486562052553,0.5608879841288115,-11.603797021830243
20,21,0.1581790809196804,0.006170804023742676,0,17.5911865234375,-1.1540336608886719,0.9670219421386719,-4.970973968505859
21,22,0.028721735934476873,0.006109820604324338,0,15.764049530029297,0.5225162506103516,0.3578033447265625,-7.794913291931152
22,23,0.2913509825054528,0.006341996669769286,0,15.80855941772461,0.36954689025878906,-2.851055145263672,-6.338825225830078
23,24,0.182901016964698,0.007142850399017333,0,15.376277923583984,0.03993797302246094,3.3313655853271484,-9.823820114135742
24,25,0.1036120690841556,0.006790187835693359,0,16.64608383178711,1.7956428527832031,1.0609073638916016,-7.658117294311523
25,26,0.05097109859301897,0.006934361219406129,0,20.0,0.019075393676757812,1.492889404296875,-6.225480079650879
26,27,0.032052629217382445,0.0070569467544555654,0,20.0,0.7310256958007812,1.2889480590820312,-6.207813262939453
27,28,0.06167457600964948,0.007684630393981932,0,20.0,0.6144809722900391,1.1609535217285156,-8.96308708190918
28,29,0.05993884702142153,0.0064224214553833,0,20.0,0.6528472900390625,1.4140052795410156,-3.622833251953125
29,30,0.06428810919302427,0.005433775901794436,0,14.887943267822266,0.5818576812744141,1.4019355773925781,-4.863367080688477
30,31,0.05722614543266342,0.007677624225616456,0,20.0,0.5016880035400391,1.1807212829589844,-9.028087615966797
31,32,0.05958684769684499,0.0064811778068542495,0,20.0,0.5325965881347656,1.4605693817138672,-3.9315452575683594
32,33,0.058225957633108276,0.0057070798873901365,0,15.025154113769531,0.614776611328125,1.3752365112304688,-5.813152313232422
33,34,0.06895733398279616,0.007834911346435547,0,20.0,0.5082893371582031,1.0778217315673828,-9.753534317016602
