run_no,time/tau,Residence time(s),Temperature(K),Pressure(atm),y_C2H6(M),y_C2H4(M),y_CH4(M),y_H2(M),y_CO2(M),y_CO(M),y_H2O(M)
run_27,1,1.0,866.0,1.0,0.00046462037573303654,3.469448606628613e-05,1.370276401354754e-06,3.306254052043873e-05,0.0004990531926548301,9.468073451700272e-07,9.468073451700272e-07
run_28,0,6.5,866.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_28,1,6.5,866.0,1.0,0.0003105695342777892,0.0001727318551725094,3.3397221099403054e-05,0.00012802303914871092,0.0004719897945259029,2.8010205474096946e-05,2.8010205474096946e-05
run_29,0,12.0,866.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_29,1,12.0,866.0,1.0,0.00022368960084900155,0.00024176532757857328,6.909014314485037e-05,0.00014347610206369107,0.00043625584605754296,6.374415394245704e-05,6.374415394245704e-05
run_30,0,1.0,870.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_30,1,1.0,870.0,1.0,0.00046175626181321517,3.745649220696028e-05,1.57449195964935e-06,3.560294618647771e-05,0.0004989336999593421,1.0663000406579013e-06,1.0663000406579013e-06
run_31,0,6.5,870.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_31,1,6.5,870.0,1.0,0.00029852701983157446,0.00018291439287254535,3.711717459176032e-05,0.00013347419642133047,0.0004691183908446655,3.088160915533468e-05,3.088160915533468e-05
run_32,0,12.0,870.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_32,1,12.0,870.0,1.0,0.00021031545091775854,0.00025240056770247786,7.456796275952734e-05,0.0001466465131247588,0.0004315299268020447,6.847007319795541e-05,6.847007319795541e-05
run_33,0,1.0,873.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_33,1,1.0,873.0,1.0,0.00045948129630355664,3.964621491658072e-05,1.7449775597254317e-06,3.7609141642573415e-05,0.0004988354155058554,1.1645844941445901e-06,1.1645844941445901e-06
run_34,0,6.5,873.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_34,1,6.5,873.0,1.0,0.00028929377131809244,0.00019066481352554717,4.008283031272077e-05,0.0001374547933275288,0.0004668313949583419,3.316860504165796e-05,3.316860504165796e-05
run_35,0,12.0,873.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_35,1,12.0,873.0,1.0,0.00020041620199350336,0.00026021492709187423,7.873774182924474e-05,0.00014875306391776765,0.0004279070077405158,7.209299225948424e-05,7.209299225948424e-05
