,t(s),N2_molefrac,NH3_molefrac,H2_molefrac,N2_massfrac,NH3_massfrac,H2_massfrac,dN2_rate(kmol/sec),dNH3_rate(kmol/sec),dH2_rate(kmol/sec),NH3_Conversion_mass,pressure(atm),temperature(K),residence_time(sec),vol_flow_rate(cm3/sec),P_N2(atm),P_NH3(atm),P_H2(atm),CSTR_slice_no
20,100.0,0.00654166757,0.97383333,0.0196250027,0.0109029235,0.986743222,0.00235385454,8.83718745e-10,-1.76743738e-09,2.65115623e-09,0.013256778000000025,8.35,816.67,0.9345794392523364,1.07,0.0546229242095,8.1315083055,0.163868772545,2
21,100.0,0.0452564507,0.818974197,0.135769352,0.0818500451,0.900479181,0.0176707744,1.26639433e-08,-2.5327885e-08,3.79918307e-08,0.09952081899999998,9.85,943.33,0.5,2.0,0.445776039395,8.06689584045,1.3373281172,2
22,100.0,0.0869253814,0.652298474,0.260776144,0.17307051,0.789564942,0.037364548,5.61987699e-09,-1.12397536e-08,1.68596308e-08,0.21043505799999995,1.45,883.33,0.37453183520599254,2.67,0.12604180303,0.9458327872999999,0.37812540879999995,2
23,100.0,0.165321974,0.338712106,0.495965921,0.40626402,0.506026806,0.0877091737,3.43070011e-08,-6.86140028e-08,1.02921005e-07,0.49397319399999995,3.55,996.67,0.3125,3.2,0.5868930077,1.2024279763,1.7606790195499997,2
24,100.0,0.0155454591,0.937818164,0.0466363774,0.026390979,0.967911418,0.00569760267,1.43711093e-09,-2.87422207e-09,4.31133279e-09,0.03208858199999998,4.15,830.0,0.6802721088435374,1.47,0.06451365526500001,3.8919453806,0.19354096621,2
25,100.0,0.108595128,0.565619488,0.325785384,0.228186052,0.722550393,0.0492635555,4.41501612e-08,-8.83003059e-08,1.32450471e-07,0.277449607,5.35,983.33,0.20833333333333334,4.8,0.5809839348,3.0260642607999997,1.7429518043999999,2
26,100.0,0.0450645547,0.819741781,0.135193664,0.0814686067,0.900942968,0.0175884248,7.29806053e-09,-1.45961211e-08,2.18941816e-08,0.09905703200000004,2.65,876.67,0.25,4.0,0.119421069955,2.17231571965,0.35826320959999997,2
27,100.0,0.0855132798,0.657946881,0.25653984,0.169678932,0.793688734,0.0366323332,3.64139802e-08,-7.28279694e-08,1.09241943e-07,0.20631126600000005,6.85,976.67,0.24213075060532688,4.13,0.5857659666299999,4.506936134849999,1.757297904,2
28,100.0,0.0115744266,0.953702294,0.0347232798,0.0194897411,0.976302579,0.00420768024,3.8574821e-09,-7.71496403e-09,1.15724463e-08,0.023697421000000052,7.75,850.0,0.341296928327645,2.93,0.08970180615,7.3911927785,0.26910541845,2
29,100.0,0.168212175,0.327151298,0.504636526,0.416967266,0.493012814,0.0900199195,3.21868487e-08,-6.43736975e-08,9.65605444e-08,0.5069871859999999,2.05,970.0,0.20283975659229211,4.93,0.34483495875,0.6706601608999999,1.0345048783,2
