,N2(T),N(T),TS4_N2(T),N2(S),N(S),TS4_N2(S)
0,6.959,-4.629,-16.88,14.135528823107329,15.05423928484884,0.8246846534953498
1,6.959,-4.629,-16.88,13.141992653588453,12.071662752737396,-14.871784922887123
2,6.959,-4.629,-16.88,6.679920089226528,-15.124383881227171,19.112821928968785
3,6.959,-4.629,-16.88,3.7489067438611983,-14.070262224330769,12.675037320106078
4,6.959,-4.629,-16.88,8.36854798579051,5.288396975358111,-3.7348821086763095
5,6.959,-4.629,-16.88,-14.082407231802641,8.56135392823974,-6.866827759986048
6,6.959,-4.629,-16.88,4.7580904997525835,-16.38846346508858,16.104527596430728
7,6.959,-4.629,-16.88,-19.131778284912105,11.164747761824788,-12.694740313233
8,6.959,-4.629,-16.88,0.07649731530225168,17.712567624724322,-13.414571664380391
9,6.959,-4.629,-16.88,-2.1661252645758964,19.163556287271,-9.804257234417546
10,6.959,-4.629,-16.88,14.796952987406215,-9.394269664604602,16.99089674062469
11,6.959,-4.629,-16.88,17.737552974435552,6.684140657918476,10.25857376270945
12,6.959,-4.629,-16.88,-18.542493192414888,2.2177632678480634,-16.294206781036166
13,6.959,-4.629,-16.88,4.460597945011283,15.493231839431722,-11.98780781510387
14,6.959,-4.629,-16.88,-12.311223143351322,10.538070130412514,9.867088448453742
15,6.959,-4.629,-16.88,1.052259742924754,-10.140480447699007,15.662513142845825
16,6.959,-4.629,-16.88,-8.21410964470674,-8.525581255999962,19.580056131942733
17,6.959,-4.629,-16.88,2.411429942413818,-9.246647618587815,-6.203733228181505
18,6.959,-4.629,-16.88,10.155316182560679,-16.747921709072703,-19.271774270154136
19,6.959,-4.629,-16.88,-1.5842185286295916,-0.22437233478770224,14.495883902716727
20,6.959,-4.629,-16.88,11.424303483773791,-12.20541525736635,0.29994142231995724
21,6.959,-4.629,-16.88,-16.219688326547733,-13.052594916663299,-8.489635560418517
22,6.959,-4.629,-16.88,-11.542332714878944,16.713348095812812,12.15047289240524
23,6.959,-4.629,-16.88,1.9355863470415038,18.38649681283053,-0.2522028531939178
24,6.959,-4.629,-16.88,-7.672284560479774,14.168217163046883,-17.543186999735493
25,6.959,-4.629,-16.88,8.852789119340759,3.343880828564373,1.335246884687436
26,6.959,-4.629,-16.88,-0.023439968567743108,7.906685299121925,-4.57501686390251
27,6.959,-4.629,-16.88,-6.598443714114783,-3.461739140860317,-17.315074937868047
28,6.959,-4.629,-16.88,16.413303812254256,19.377556556285626,11.414228970493824
29,6.959,-4.629,-16.88,16.679050801451602,13.97818422000018,-19.99992375012177
30,6.959,-4.629,-16.88,3.257294732873852,-13.886779720290289,-15.466170287549641
31,6.959,-4.629,-16.88,18.659077436274963,-5.966697694035943,-4.703603496006126
32,6.959,-4.629,-16.88,6.615349690364319,0.9387578685075191,8.082782210079937
33,6.959,-4.629,-16.88,-14.687825616187068,-0.7360758545359545,9.313063832213114
34,6.959,-4.629,-16.88,-9.70140431588273,-18.43629284863797,-9.320422028086469
35,6.959,-4.629,-16.88,11.242361236372954,11.373278459674808,-5.64273572938966
36,6.959,-4.629,-16.88,-3.907149101832829,-4.064398723141412,-2.0777959391961254
37,6.959,-4.629,-16.88,-17.64078884399776,4.664881900300987,-12.456322912662625
38,6.959,-4.629,-16.88,-5.723880486982065,-10.67409260739567,-10.59784932894824
39,6.959,-4.629,-16.88,-10.479704005290397,9.345764859581962,18.2534274484157
40,6.959,-4.629,-16.88,-4.275629972998672,-6.940462975397812,3.27235676727987
41,6.959,-4.629,-16.88,-17.197031833512323,5.836975368401646,17.544908272881436
42,6.959,-4.629,-16.88,19.033965479411933,13.039811321369427,5.131212107659934
43,6.959,-4.629,-16.88,-1.1533814054899807,-11.443582885401751,6.082847307981446
44,6.959,-4.629,-16.88,-13.973963477844745,-15.867932340610082,-3.101489426836327
45,6.959,-4.629,-16.88,-7.235514283396128,-17.720536990397804,13.712066974613293
46,6.959,-4.629,-16.88,-9.141483107609101,2.904846506668335,11.037493489326945
47,6.959,-4.629,-16.88,-4.890803569853475,-4.990073925294462,5.835917458974166
48,6.959,-4.629,-16.88,-19.721985330198283,-19.51978367103856,2.3513720681717416
49,6.959,-4.629,-16.88,19.509946371775207,6.474349839085647,-7.617254929671994
50,6.959,-4.629,-16.88,9.707353479503805,16.552653933033447,6.685537658680527
51,6.959,-4.629,-16.88,13.381316186459657,-6.3906293414536215,15.31334665939221
52,6.959,-4.629,-16.88,15.897885867660023,-2.1826680097663633,4.114893672230217
53,6.959,-4.629,-16.88,12.029701252363175,1.7157863244481888,7.692554042894436
54,6.959,-4.629,-16.88,5.377333448481373,0.6329928391380477,-10.83455623041344
55,6.959,-4.629,-16.88,-3.2230972019220445,-7.9644249699219465,3.9529581558291724
56,6.959,-4.629,-16.88,-15.906408707603177,-19.235496072788592,-18.402155017179552
57,6.959,-4.629,-16.88,-10.833237123370022,9.05717284763886,-1.0479392067524707
58,6.959,-4.629,-16.88,-13.267768777444633,-1.4993717106484397,-14.609970525753482
59,6.959,-4.629,-16.88,7.497474045068699,-2.7149942797359756,-1.7674011053481067
60,6.959,-4.629,-16.88,-6.997771263122559,16.345874786376953,-9.78643798828125
61,6.959,-4.629,-16.88,2.901418685913086,17.230712890625,-9.520227432250977
62,6.959,-4.629,-16.88,-20.0,18.18181610107422,-9.889816284179688
63,6.959,-4.629,-16.88,-9.122306823730469,16.368061065673828,-10.262334823608398
64,6.959,-4.629,-16.88,-20.0,11.05966567993164,-12.478729248046875
65,6.959,-4.629,-16.88,8.265188217163086,2.687084197998047,-18.967029571533203
66,6.959,-4.629,-16.88,-20.0,15.08795166015625,-10.026907920837402
67,6.959,-4.629,-16.88,-8.65415096282959,14.405136108398438,-10.183979988098145
68,6.959,-4.629,-16.88,7.309873580932617,19.237972259521484,-10.09158706665039
69,6.959,-4.629,-16.88,20.0,20.0,-10.365742683410645
70,6.959,-4.629,-16.88,-16.074295043945312,15.629020690917969,-10.746537208557129
71,6.959,-4.629,-16.88,-20.0,15.828041076660156,-11.109399795532227
72,6.959,-4.629,-16.88,-14.299535751342773,15.692100524902344,-10.836543083190918
73,6.959,-4.629,-16.88,15.696327209472656,7.501657485961914,-11.551400184631348
