,Run No,Loss,Repeat,EDH_prefactor,EDH_Ea,Hyd_prefactor,Hyd_Ea,RWGS_prefactor,RWGS_Ea
74,75,0.37178272216686187,0,8.60490608215332,59.298728942871094,6.0,69.20614624023438,7.79918098449707,86.18727111816406
75,76,0.4392143930912693,0,8.92311954498291,81.09087371826172,6.0,69.4599609375,8.062041282653809,70.93180847167969
76,77,0.3730188818440363,0,8.2117919921875,50.8116340637207,6.0,69.13160705566406,7.989985466003418,85.03182983398438
77,78,0.5115432469238499,0,8.398611068725586,61.454959869384766,6.0,69.9559326171875,7.305770397186279,74.77207946777344
78,79,0.21090353124270814,0,8.878947257995605,50.0,6.0,67.62727355957031,8.230417251586914,81.80229187011719
79,80,0.2144872060657405,0,8.455500602722168,60.431888580322266,6.0,67.69551086425781,8.383938789367676,85.18685913085938
80,81,0.21776506778572777,0,8.4877347946167,63.410037994384766,6.0,67.748046875,8.408464431762695,83.72004699707031
81,82,0.21472639441967786,0,8.506153106689453,61.99292755126953,6.0,67.70002746582031,8.400579452514648,84.0185317993164
82,83,0.20887633306032188,0,8.420440673828125,54.20512390136719,6.0,67.58235168457031,8.263956069946289,85.85527801513672
83,84,0.2234099704871916,0,8.52429485321045,66.23076629638672,6.0,67.84200286865234,8.402082443237305,82.66705322265625
84,85,0.2170824036428279,0,8.5858793258667,55.389007568359375,6.0,66.90144348144531,8.177637100219727,87.6163330078125
85,86,0.2269259513647361,0,8.350629806518555,50.0,6.0,67.92024230957031,8.291230201721191,84.78934478759766
86,87,0.22632789535096193,0,8.515260696411133,66.83566284179688,6.0,67.8953857421875,8.37653923034668,82.41233825683594
87,88,0.2259250474027112,0,8.662874221801758,59.59443283081055,6.0,66.76657104492188,8.151344299316406,86.99408721923828
88,89,0.22851218118689431,0,8.378312110900879,50.0,6.0,67.93025207519531,8.361419677734375,84.11714172363281
89,90,0.22639203631968036,0,8.530558586120605,66.27912902832031,6.0,67.88520812988281,8.417285919189453,81.6571273803711
90,91,0.241639419856702,0,8.734803199768066,50.0,6.0,68.08816528320312,8.344815254211426,83.1978759765625
91,92,0.21488198538838926,0,8.29942798614502,50.25822830200195,6.0,67.72687530517578,8.246284484863281,84.97889709472656
92,93,0.2174886314716392,0,8.323755264282227,50.40089797973633,6.0,67.75904846191406,8.306269645690918,83.33009338378906
93,94,0.22850409203180022,0,8.394411087036133,65.76844787597656,6.0,67.9281997680664,8.27376651763916,82.6793212890625
94,95,0.21684977507086567,0,8.336729049682617,50.0,6.0,67.75650787353516,8.28730583190918,83.57426452636719
95,96,0.21412403063883867,0,8.5601167678833,58.47603988647461,6.0,66.96258544921875,8.102943420410156,86.60562896728516
96,97,0.2145114391772234,0,8.6077241897583,60.103309631347656,6.0,66.94633483886719,8.138504028320312,86.03282165527344
97,98,0.2278307094751421,0,8.408885955810547,65.24100494384766,6.0,67.91433715820312,8.285679817199707,82.26019287109375
98,99,0.2197794354399487,0,8.6891450881958,50.0,6.0,67.78775024414062,8.337442398071289,82.26144409179688
99,100,0.21111388467852693,0,8.489450454711914,55.80189514160156,6.0,67.56112670898438,8.318653106689453,61.22660827636719
100,101,0.20744089707102034,0,8.550822257995605,55.20356369018555,6.0,67.46768188476562,8.146263122558594,75.38134002685547
101,102,0.9591632101055788,0,9.0,63.50231170654297,6.0,67.16224670410156,7.092160224914551,99.65541076660156
102,103,0.2186583830564257,0,7.605996131896973,133.78443908691406,6.0,67.7333755493164,7.609799861907959,50.0
103,104,0.3616725548112566,0,7.555587291717529,175.01828002929688,6.0,66.8999252319336,7.807021617889404,50.0
104,105,0.2146499727690014,0,7.868456840515137,102.62649536132812,6.0,67.65042877197266,7.871192932128906,50.0
105,106,0.21607169254587077,0,6.952720642089844,116.5316390991211,6.0,67.68050384521484,7.629378318786621,50.0
106,107,0.21030388690648744,0,7.451427459716797,107.49147033691406,6.0,67.55027770996094,7.597989559173584,50.0
107,108,0.2768807185055529,0,6.845271110534668,142.9722137451172,6.0,67.88774108886719,7.235705375671387,50.0
108,109,0.21554862883797443,0,7.792243957519531,53.626670837402344,6.0,67.66378784179688,8.265315055847168,50.0
109,110,0.23091457358060385,0,7.371484279632568,114.7841796875,6.0,67.93582916259766,7.62467098236084,63.98627471923828
110,111,0.2079566676504206,0,7.237430572509766,119.84893035888672,6.069483757019043,68.63848114013672,7.596426963806152,50.0
111,112,1.4138807352299587,0,8.835996627807617,101.09443664550781,8.728666305541992,105.34180450439453,8.233064651489258,107.92296600341797
112,113,0.2302346622210226,0,7.324709892272949,117.17304229736328,6.019500255584717,68.23753356933594,7.636897087097168,50.0
113,114,0.2435263516478063,0,7.034862518310547,128.44754028320312,6.102451324462891,68.13114929199219,7.471103668212891,50.0
114,115,0.23545013454950806,0,7.730240821838379,59.802391052246094,6.127534866333008,68.67849731445312,8.202381134033203,50.0
115,116,0.2050900595428572,0,7.484241485595703,115.81584167480469,6.174981117248535,69.94606018066406,7.526124000549316,50.0
116,117,0.2021361637381797,0,6.824697017669678,120.06192016601562,6.159212112426758,69.87019348144531,7.569768905639648,50.0
117,118,0.20809902245771916,0,7.235954284667969,126.17411804199219,6.15772819519043,69.56993103027344,7.712088584899902,50.0
118,119,0.2086030290185126,0,7.18868350982666,104.31773376464844,6.151758670806885,69.4842758178711,7.604516506195068,50.0
119,120,0.20246629912003627,0,7.148673057556152,133.02532958984375,6.136590957641602,69.76567840576172,7.4394989013671875,50.0
120,121,0.20170465158452042,0,6.939194202423096,132.7052001953125,6.225162506103516,70.5627212524414,7.436093807220459,50.0
121,122,0.20567309197495506,0,7.070974826812744,127.04515838623047,6.186100006103516,70.03909301757812,7.497758865356445,50.0
122,123,0.25692808324512717,0,6.952844619750977,125.93842315673828,6.222393035888672,71.8843994140625,7.3724565505981445,50.0
123,124,0.24486886170861183,0,7.185110092163086,106.77444458007812,6.272137641906738,70.91304779052734,7.744788646697998,50.0
124,125,0.36337799427106743,0,6.0,161.6893310546875,6.223109722137451,70.9949951171875,7.508681297302246,50.0
125,126,0.19475756700369393,0,7.520554542541504,141.33154296875,6.234924793243408,70.93717956542969,7.3804240226745605,50.0
126,127,0.2356191174836792,0,7.611967086791992,124.97389221191406,6.29493522644043,71.36465454101562,7.1479997634887695,50.0
127,128,0.19581138388749542,0,7.453763008117676,136.73049926757812,6.220648765563965,70.94937896728516,7.317538738250732,62.51479721069336
128,129,0.19974101718661835,0,7.403453826904297,132.56195068359375,6.220654010772705,70.8087387084961,7.357375621795654,55.31564712524414
129,130,0.35794783790951995,0,7.641651153564453,169.9656524658203,6.22459077835083,71.50769805908203,7.050335884094238,59.809776306152344
130,131,0.21583430407387633,0,7.639035224914551,130.56341552734375,6.2719645500183105,71.25537109375,7.443870544433594,56.71427917480469
131,132,0.20329625920615485,0,7.237924575805664,128.85275268554688,6.16129732131958,70.12714385986328,7.450592994689941,62.6963996887207
132,133,0.2186464723521925,0,7.516983985900879,50.0,6.077418327331543,68.11317443847656,8.99991226196289,50.0
133,134,0.2505175891914546,0,8.161012649536133,50.0,6.316310882568359,71.57268524169922,7.439748764038086,50.0
134,135,0.2062510472369741,0,7.643044948577881,107.51704406738281,6.247955322265625,71.04415130615234,7.373546123504639,50.0
135,136,0.19693152308460987,0,8.280484199523926,55.45357131958008,6.423965930938721,74.0923843383789,7.3135986328125,50.0
136,137,0.21166969785163825,0,7.515750408172607,50.0,6.405116081237793,73.45345306396484,7.271356105804443,50.0
137,138,0.20210390312701876,0,8.111574172973633,72.37039184570312,6.377491474151611,73.20491790771484,7.318857669830322,50.0
138,139,0.271228248188519,0,8.103494644165039,50.0,6.456072807312012,73.67156219482422,7.589786529541016,50.0
