,Run No,Loss,Repeat,EDH_prefactor,EDH_Ea,Hyd_prefactor,Hyd_Ea,RWGS_prefactor,RWGS_Ea
0,1,2.4607014968902137,0,6.190317394407724,161.0246572616261,8.237159467070802,117.19962290400436,7.198326666798565,54.35912898614771
1,2,2.459202134539714,0,6.49983326412811,161.0246572616261,8.237159467070802,117.19962290400436,7.198326666798565,54.35912898614771
2,3,2.4617010877336996,0,6.190317394407724,169.0758901247074,8.237159467070802,117.19962290400436,7.198326666798565,54.35912898614771
3,4,1.4037447916064516,0,6.190317394407724,161.0246572616261,8.649017440424343,117.19962290400436,7.198326666798565,54.35912898614771
4,5,3.049458310232195,0,6.190317394407724,161.0246572616261,8.237159467070802,123.05960404920458,7.198326666798565,54.35912898614771
5,6,2.460793739787493,0,6.190317394407724,161.0246572616261,8.237159467070802,117.19962290400436,7.558243000138493,54.35912898614771
6,7,2.4603768790015375,0,6.190317394407724,161.0246572616261,8.237159467070802,117.19962290400436,7.198326666798565,57.077085435455096
7,8,1.154711181903155,0,6.293489350981187,163.70840154931983,8.374445458188651,111.33964175880413,7.318298777911872,55.26511446925018
8,9,0.4562235143785034,0,6.345075329267919,165.05027369316667,8.443088453747574,105.47966061360393,7.378284833468527,55.718107210801406
9,10,1.3019563319940308,0,6.345075329267918,154.31529654239162,8.443088453747576,113.29296880720422,7.378284833468527,55.718107210801406
10,11,0.8581878781673058,0,6.396661307554649,160.13007583239477,8.5117314493065,111.99075077493752,6.958382444571944,56.171099952352634
11,12,0.3695079374350114,0,6.465442611936957,159.83188202265103,8.603255443385065,110.25446006524855,7.238317370502999,56.77509027442095
12,13,1.13420960588848,0,6.603005220701574,159.2354944031635,8.786303431542198,106.78187864587065,7.2583127223552175,57.98307091855756
13,14,0.7786234998298653,0,6.557151017780034,159.434290276326,8.72528743548982,107.93940578566328,7.251647605071144,53.9564687714355
14,15,1.6860447114751032,0,6.266741065943622,158.90416794789263,8.88799675829616,104.85266674621626,7.269421251162003,56.54020514917215
15,16,0.7787496516763946,0,6.3250141154897435,159.434290276326,8.725287435489818,107.9394057856633,7.251647605071144,55.99493610841604
16,17,1.1934035588045473,0,6.62115584269135,158.37404561945925,8.501562116631108,101.76592770676923,7.287194897252865,57.08547418992826
17,18,1.739407218776499,0,6.558424745638967,166.4363226977163,8.72698232426905,101.83023477009105,7.076873418511015,56.182284958316856
18,19,0.5776756152873694,0,6.3984126833606805,157.3455530812228,8.514061921377944,110.42728529792592,7.3029319797291485,55.83415164768027
19,20,1.1594801218520003,0,6.208096512438645,162.0347427745698,8.672675262967799,116.24439506757825,7.173209048885436,54.39781046510734
20,21,0.6321119372614639,0,6.311361345001821,161.11956848579217,8.629896976383627,112.624778227376,7.201705510977294,55.06972639631257
21,22,1.0015634626586436,0,6.404157726724402,160.60854344610016,8.701894439318115,106.23091448355613,7.583129190368142,54.94506018400294
22,23,0.48599837660355666,0,6.398535412347087,160.2496927358211,8.559272196809404,110.55079170209217,7.1145691310209935,55.86459001026521
23,24,0.9410134758991949,0,6.500312017741756,161.5761298220006,8.433000040241325,111.15272144497334,7.244171205185557,55.07777532855593
24,25,0.47218479477155084,0,6.3688385910527465,159.96975016274467,8.652215586677695,108.74273470049081,7.249778505099747,55.76564591345101
25,26,1.0649350310873598,0,6.205404306542371,161.75461645080674,8.40864275730395,111.42049774991581,7.243548171861759,57.71930171287497
26,27,0.45072259231017575,0,6.469214339970618,160.01437181994618,8.646126265943352,108.80967877672641,7.2496227467687975,54.897177006795374
27,28,0.6103575581913308,0,6.503811644310181,159.7009393527253,8.509442979596717,105.46342549131992,7.309462677886109,56.5485276248255
28,29,0.4285460037070165,0,6.4556990694830905,160.05559663599203,8.539556478793443,107.25376367533394,7.282523386158905,56.17882731769727
29,30,0.7537520130564104,0,6.435855767992127,164.37830260888447,8.633776220407569,106.60307787990604,7.201433344610839,55.89899426346348
30,31,0.38500137293402575,0,6.4077734545185425,159.1037404631382,8.54399049613535,109.47123344342094,7.277557320949571,55.85036230162608
31,32,0.6994338135968421,0,6.438812386396203,161.09217886339184,8.583472044751426,106.11971872284934,7.444125589961856,55.863813331332146
32,33,0.35842091254633024,0,6.4086046558593655,160.46031426771378,8.56532215879491,109.44302345728147,7.196958245756209,55.86439584053194
33,34,0.3895528485737052,0,6.4817645626260845,161.53564280479128,8.461564178922202,108.16120531004756,7.291309462768591,55.99567407050665
34,35,0.4544505092558223,0,6.5510909021969645,155.28357564491085,8.676849886910531,112.3181276290824,7.133811344166498,56.13573505972467
35,36,0.3746110694198238,0,6.499587008964704,157.72525015697482,8.618409528619791,110.60851087521277,7.194929716492005,56.031328097493855
36,37,0.5737434658857324,0,6.437076114492294,159.55643696380758,8.46457316227357,109.58772016545534,7.244242420773962,57.33471562729686
37,38,0.36003051441864653,0,6.461179783601037,159.89988810591154,8.600737990025905,109.00418912390865,7.248277665270089,55.50656166192074
38,39,0.5840387509694925,0,6.452418289685806,159.46330930440152,8.591536786500964,111.72711041637268,7.1999265410875815,55.82897676446946
39,40,0.35225490746367305,0,6.454878874533769,159.90752480309442,8.552551555720324,108.37210036059363,7.261874174891075,56.09136467939032
40,41,0.34515440780492934,0,6.417390900512039,157.4405571350366,8.69985821197158,110.8899671318411,7.181328701852057,56.04402688128796
41,42,0.37902378635991285,0,6.385204069455018,155.39301430015928,8.81900522849627,112.25434804273789,7.12633832139379,56.068203286678624
42,43,0.36295098834298967,0,6.494587823950745,159.31806503398923,8.669387800037175,110.05285022794112,7.1630046373052405,56.253893510055846
43,44,0.3975838983150219,0,6.401107874499933,161.22749363249073,8.611961524691862,108.73035258039206,7.2349905487005515,56.14711618504205
44,45,0.3482753044902187,0,6.474967225348511,158.6008110258538,8.616797527637809,110.1389713015076,7.204944924544142,56.060275119380904
