,Run No,Loss,Reg. Loss,Repeat,TS12,TS16,TS47,TS49,Cl*,H*,CH3CH3*,CH3CH2*,ClCH2CH2Cl*,ClCH2CH2*,CH2CH2*
0,1,98.3517451712112,1.4258362878253656,0,27.125084587163126,-33.80308017894102,-32.1299485676591,17.982618080466448,16.37827267116809,-26.772309494379147,2.173248171229849,-28.97110174996034,29.35557433419339,0.4476000739356589,18.669517109657512
1,2,97.98463663966494,1.0968043584463814,0,-33.51154025299132,-3.4693883183079777,-26.740367324121834,36.07245499716874,21.710149152351754,10.484009076002687,7.787378078445215,22.994714704964565,19.18168665312029,-10.116023161280827,5.8046296954062
2,3,98.0865415130869,1.1603342461151847,0,-17.79993864799121,-18.790934060644496,20.70114585819632,-23.194065311809076,-20.612324911838602,29.15379903399917,21.83610731216101,3.739511477333828,-13.741713270771436,34.839099593665274,17.344236780427362
3,4,98.40152562213237,1.4827827028277185,0,36.27638543813351,-9.328033188245467,-39.02072049279171,-33.75041993891368,-20.296188445201544,-0.3555354211599804,-27.39563823505728,28.322070135248527,17.853752905889273,-3.8312988896794398,12.703952499038245
4,5,98.35417132807551,1.4998551310884212,0,17.46161920011721,-13.683374780332723,33.74184604940504,-1.474417529311176,-32.29799944863427,12.898168173273232,35.36106215401129,9.169629069473269,5.337470382967471,36.4402181793368,-32.651878795243846
5,6,98.36704424372775,1.4408180074352255,0,7.571116906831907,17.638818526158133,27.867290786163814,-21.638988141226612,-11.783441071122196,-38.66843534573932,32.35592849849923,32.12950941844858,2.890412135409406,16.72089319922163,26.92705307373756
6,7,98.05075879645214,1.1320836127401974,0,11.920006214927712,-23.145391473449507,-20.430895415489026,7.239801618942492,-25.782440154248192,19.515230509472943,-30.01549739327905,34.06465851605624,-0.8060192088884355,-22.752540547342342,14.432558069280743
7,8,95.52518985085933,1.6660135995579517,0,-13.028784554931576,21.616606053599135,-21.048568714349486,31.1256008111486,6.309832815031928,35.322539299608465,33.82173225808417,-19.319804694745407,-11.878868297449113,28.171844603102876,39.27043599892677
8,9,98.1346871199527,1.2084609474159587,0,-37.05811221172001,31.915863320222115,-9.50456429110281,-11.472225751684363,-16.079458336585265,-32.079435640369,15.10219649096494,23.63840314020895,-22.80722809141352,4.914879298344701,-9.194462757170726
9,10,98.41148309507344,1.536947456723071,0,-1.3895283116789559,29.4717851791213,-1.7190915990032618,11.871067609099422,39.71283148946212,17.42566580416782,-7.061493978311653,-3.015956789649379,-35.23054624057817,-34.26644396043061,-37.32385698997547
10,11,98.66712471541132,1.7420627089799978,0,28.253697505372113,-8.137473102476545,-14.542538899174895,-5.3804888822165475,-3.8876356863192596,-15.088699431327925,28.129374188995815,-33.2396923247817,-39.181932140208104,-39.47856398255212,36.43416953649678
11,12,94.20286093758409,1.1159792134628324,0,15.58123794991162,25.95431102261437,-16.261393798441528,-27.032626135173334,10.0545350986547,6.2226535914344705,37.69570875737251,15.101034055809803,-16.43566308282533,20.894202836396786,22.431896560678002
12,13,97.74298142617428,0.8177231681516586,0,-21.45641605131801,8.592968854027081,19.015655183299394,20.121498452970357,30.881675546349623,23.32848507306771,-5.39323435957058,-7.986428696167356,23.81162012570238,11.308408828804826,3.414046067354226
13,14,98.25066435575975,1.3244395415176549,0,-32.41890066727913,33.75635365722281,10.378673857071137,2.473339539105446,-9.47401473066349,-21.378555229646217,-33.10047632096125,26.151770550166482,-18.868256816558183,-25.710578220154147,-13.409772867089185
14,15,97.95261009616044,1.0264439881909668,0,-23.76631230467149,-11.136078823060274,-7.334961984287256,23.457557920403787,36.09465790913518,-4.388371078834528,-0.9467468868380147,-14.654922953651734,-5.0684653086788956,-25.107939068075655,32.08740926662501
15,16,98.14797014336311,1.7198403930204438,0,39.693763197041406,-22.613876497446903,37.72399738322325,10.195739062722513,-0.3504130654571247,4.562520788961129,16.118927601115686,-30.851960391484752,38.79900019331834,-28.802373808795462,-19.639770451922566
16,17,98.05709158405261,1.13829979547842,0,2.7557544100876097,14.541764474199983,17.02399263397816,-38.61880702210398,-30.224906098423368,22.642174928490604,12.993123320076583,0.9950014626591663,-32.23693553629819,-17.510814617200126,-8.146193325676059
17,18,97.99249392136322,1.0662676854640933,0,-4.376016854575648,24.73843615953931,7.184849140645326,-7.032454392218459,-2.8462055020202914,-36.493642553035635,-30.9660063116213,-16.984461891040226,25.961831580325736,26.416835378301585,0.4923224359073153
18,19,94.82405030656977,1.1807734115967787,0,9.08112569511717,-37.856963161747004,-29.104977862415986,-9.056333175328533,2.1609093788529066,-3.4470065833143826,-11.527141169574286,-12.95877101165036,-25.033806043491317,32.06899787241874,-27.896261709808137
19,20,98.34098371061239,1.4251354799999922,0,3.7132057843256394,12.859293997295271,1.5888127699441945,25.595972501696835,33.97815732306343,2.464359288292197,-37.02042472835296,35.265029316483485,-29.739481600279504,7.290827920433811,-26.85988308271865
20,21,97.93986660039576,1.014787794938044,0,-6.127270734858352,-26.04253542569207,-5.018924626709631,14.343222812959997,15.292372346651284,27.216422274861216,-10.29247422965112,-23.741415253771017,21.92717737040838,-36.713559594555385,6.747212136236538
21,22,98.1475045913015,1.2212783590794776,0,24.121259973752363,0.1564148516956454,31.081400184062282,5.330428764774364,-7.914122606184075,-33.4770093738263,19.81958076841174,20.46904010877631,-3.272534193009169,-30.34606410854043,29.5053259332793
22,23,99.35674275885371,2.6505220736916546,0,20.470585864927457,38.455992902838744,36.04664514548369,37.61734207430454,-33.93885615671636,39.279249440873315,-39.85120482641176,-36.881779513654195,-26.010652530590047,-14.899896160478093,-22.545803749963895
23,24,97.79112234304668,1.2155455824287322,0,22.440392127527726,5.472373380777924,-23.80186042386193,-18.51557040828391,-37.95703986397116,-7.557477220583495,24.630537728675908,16.491510961571684,15.165947270141755,-12.836427506711164,33.678807858051805
24,25,97.63644581729568,0.7102202966373291,0,-27.85129886134742,3.3082687839856018,-0.23019935879620146,-14.265852570781465,-23.64278160095011,-23.93440530408816,-15.846873735731602,11.834824059366742,12.385819694471856,-18.782624175831657,10.273433021124054
25,26,98.1582798887891,1.232092743394649,0,-14.153328159560136,-37.37201175013578,13.166525385366485,-31.286755097996437,13.139935055304326,-12.680618621017391,-14.289209059008655,37.882215220115285,-10.017826858904485,-2.2929747675940293,24.365782970431216
26,27,98.32546564982992,1.399249975352102,0,-20.440060567674404,-29.908847501487116,5.469852422024841,-0.4734504590192712,28.915963167912302,34.22598353486074,25.46387809314571,-4.383932717392978,-7.013027476046605,38.60125170026926,-24.490879938025934
27,28,54.31360742956141,1.3893162040904408,0,-9.45107547807238,18.413924516189148,-36.11581298547228,-17.975316889682432,25.08918357836647,14.301430101507213,-23.049152695990294,-8.926164094754583,33.81418704766891,18.89374493514734,-33.34398243965043
28,29,99.00476289068371,2.078542040787096,0,-27.896601404595035,35.6293503204469,15.182490485142504,34.89853352238547,-35.21281033259545,-18.679822674870582,-3.1958027157089886,-38.747272337684144,-32.79063422747977,1.7230738179248117,-38.35181370183159
29,30,98.05465727315067,1.1355692520541671,0,-39.3336429473641,-16.537012364503923,-33.06817601314077,29.041512689976045,5.720515396149786,-8.537658002519763,-20.291645697457046,3.5352056445490465,7.948261056098405,24.696343414639934,-6.0028362404849345
30,31,98.54587310294393,1.6196469423762008,0,34.67604950332089,-30.85155949470235,25.019905470479465,-29.626828842163984,19.89650377693504,-27.925548363332894,4.31869845803126,-27.36822359252939,37.50952749778989,10.743858657050396,-1.6375811974079957
31,32,97.61379134252532,0.7105010303710027,0,-0.2584961264217256,6.9409314683470225,-11.533716789995312,-36.2984762747597,-13.678221253264384,31.341713661982162,8.943016350263404,8.361704326473598,10.833129263322787,-6.176987137974752,-12.351150898992763
32,33,98.22619444212658,1.2999922871234912,0,30.43597679045923,-3.793939188562452,28.420213255961233,21.315318262604794,27.13987449910432,-16.788644878063828,-22.538606459908,-22.58834298381479,31.253947707178142,14.732459421671704,-16.931157047433825
33,34,97.85585224668716,0.9333241459423439,0,-9.45107547807238,14.437096523882937,12.78824686875132,8.844566899206585,7.000274211905122,30.36888151680559,-24.51460286951808,-23.44740488217348,-35.10964538364768,7.4455557678418405,-12.528574698008459
34,35,98.36614532708018,1.4474057910353688,0,36.26535490795277,-3.4693883183079777,-39.020019761343036,-33.74661461609885,-20.285240434841043,-0.3519998191974727,-27.394589761362084,28.3130849923252,19.18168665312029,-3.825817079039928,5.8046296954062
35,36,97.72462028024555,0.7983940690403125,0,33.89701210288763,22.038853057895142,20.70114585819632,3.719551146716986,-4.527942114825523,-29.64898392526677,-11.019852453967594,-11.451229439318066,-13.741713270771436,-1.3314160543635634,-9.649003362536277
36,37,84.766598291883,1.0030533288696855,0,-0.8005743216022054,-26.46767886224925,-39.02072049279171,3.003839608678689,17.50808184338367,-0.3555354211599804,9.096820508597343,-35.53295929095539,-1.0374987149495407,19.496238716605596,12.14222471249669
37,38,98.36073680031595,1.43451060869069,0,24.921599270671386,36.31466772073097,14.224521037083582,-37.694270765536174,5.913802210713346,-27.99348662254581,15.363427476616076,-18.422149959785365,5.337470382967471,16.129407530703617,-32.651878795243846
38,39,97.86259123476,1.39039315480053,0,23.793947238615925,28.821733090887545,-20.912830650154607,2.1791345409794616,-11.783441071122196,35.154103322627876,32.35592849849923,-23.555644649822582,25.467643524646615,22.831830771085315,-11.509222979633655
39,40,97.86868353351225,1.4626224281167777,0,-28.669615731427026,20.979845190899802,-20.430895415489026,9.43967139163548,-8.491157196957904,11.004826082780284,-30.01549739327905,-14.954528683904282,-30.979832076296454,32.79286898157616,-36.24931473467611
40,41,98.52545924109143,1.7038590403893887,0,-13.028784554931576,-24.898758714120977,-21.048568714349486,31.1256008111486,9.89831872663709,35.322539299608465,-35.854893530778014,13.68494516786896,-11.878868297449113,28.171844603102876,39.27043599892677
41,42,98.1676253402449,1.241399114919813,0,-10.03988739870918,-2.5913164558709223,1.1768178853544864,-11.472225751684363,-19.989360862524794,-32.079435640369,-39.20356942054716,23.58299454707856,-22.80722809141352,4.914879298344701,-33.99377978563108
42,43,98.10917374366213,1.2004421695727931,0,-1.3895283116789559,25.487059478776395,32.89302678560382,12.508387244295918,8.712775575560059,17.42566580416782,-2.2255681042925657,-29.2360698470646,-35.23054624057817,-26.71773548613195,14.061208887951162
43,44,98.52618037913192,1.6013960953625908,0,28.253697505372113,35.11585239032516,-14.542538899174895,-26.893179411191944,-3.8876356863192596,-15.088699431327925,-8.154335202428769,-33.2396923247817,-23.1234737193369,-39.47856398255212,-23.92937170347573
44,45,42.84970288342616,1.4775967621742283,0,-19.226028267511172,25.95431102261437,-30.13557966058587,-27.032626135173334,32.812093187986505,38.108709776706604,-6.376378275866648,-17.47193247060291,-2.1567922587086485,20.894202836396786,22.431896560678002
45,46,98.21116824113895,1.2849421440729996,0,27.11390361758795,-33.788665302322826,19.015655183299394,17.971759353566572,30.881675546349623,-26.756658679160303,2.171185801908022,-28.968327882108333,23.81162012570238,0.45253227144556263,3.414046067354226
46,47,98.02823347278947,1.972961730401693,0,-32.41890066727913,33.75635365722281,-29.28696515179006,24.526696350927715,-8.188789080682453,33.58230428384593,31.20118521049866,26.151770550166482,38.40143841296535,10.738426497430895,-24.26992283617001
47,48,97.60153674675371,0.8717735922216144,0,-20.044147740474216,-11.136078823060274,-37.86614146243865,-3.332820498075102,2.317540327786549,-4.388371078834528,-0.9467468868380147,10.702252268767234,-5.0684653086788956,33.45878273064883,-24.079628823205397
48,49,97.61648363692902,1.5819632581988325,0,39.693763197041406,-22.613876497446903,37.72399738322325,0.819665461533301,-0.3504130654571247,23.660363229744654,12.107518125070094,-30.851960391484752,3.7877994539244053,-28.802373808795462,30.78293463431873
49,50,98.48072070117065,1.5677959163609818,0,18.708933362665157,14.541764474199983,35.80971175747737,-38.61880702210398,-30.224906098423368,-2.950664008427424,11.68534135798529,0.9950014626591663,-32.23693553629819,-30.507473789294288,-23.094429010998585
