t(s),CH3CH3*,CH2CH2*,ClCH2CH2Cl*,CH3CH2*,ClCH2CH2*,H*,Cl*,TS12,TS16,TS47,TS49,PtCu111(*)
1.90000000e-09,-2.05873095e-18,7.00302162e-12,1.59629720e-02,3.43228527e-16,-1.46908358e-13,3.08904440e-03,1.29188124e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.90520165e-02
2.35000000e-09,-4.09153489e-18,-5.11130925e-12,1.15212664e-02,3.43499185e-16,9.04791312e-14,-4.86489676e-04,1.05264605e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.10347769e-02
2.80000000e-09,-9.20987462e-19,-1.11762466e-11,8.86727112e-03,3.36357421e-16,2.66193073e-14,-2.18753647e-03,9.08095921e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-6.67973472e-03
3.25000000e-09,-1.13276243e-18,-1.42592703e-11,7.21905016e-03,3.25597819e-16,3.22236237e-13,-3.07031594e-03,8.15325337e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.14873428e-03
3.70000000e-09,7.10813635e-14,-1.47764103e-11,6.16850526e-03,3.13386138e-16,1.05749344e-14,-3.55398101e-03,7.63176397e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-2.61452431e-03
4.15000000e-09,-2.58155206e-13,-1.44970624e-11,5.48552988e-03,3.01001495e-16,2.94611984e-14,-3.82618111e-03,7.29721399e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.65934884e-03
4.60000000e-09,6.64072054e-13,-1.35636861e-11,5.03362110e-03,2.89143728e-16,1.81430284e-14,-3.97920179e-03,7.10757350e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.05441937e-03
5.05000000e-09,-3.72747862e-13,-1.22703050e-11,4.72904754e-03,2.78186007e-16,-3.84027440e-14,-4.06195924e-03,7.01469297e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-6.67088353e-04
5.50000000e-09,1.54639262e-13,-1.08721845e-11,4.51930426e-03,2.68299782e-16,-7.34511050e-14,-4.10195770e-03,6.97989612e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.17346621e-04
5.95000000e-09,-4.27587028e-14,-9.58113566e-12,4.37098809e-03,2.59537285e-16,1.15547153e-14,-4.11537511e-03,6.97251274e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-2.55613039e-04
