t(s),CH3CH3,ClCH2CH2Cl,CH2CH2,H2,HCl,Ar
2.35000000e-08,6.06423537e-15,2.09857048e-01,1.18485969e-12,2.26734136e-01,7.13288654e-16,5.63408817e-01
2.80000000e-08,6.06422266e-15,2.09843243e-01,1.43315811e-12,2.26743656e-01,9.63951163e-16,5.63413101e-01
3.25000000e-08,6.06406260e-15,2.09830482e-01,1.69770158e-12,2.26752458e-01,1.25449281e-15,5.63417060e-01
3.70000000e-08,6.06416907e-15,2.09818679e-01,1.97769389e-12,2.26760600e-01,1.58625137e-15,5.63420721e-01
4.15000000e-08,6.06416077e-15,2.09807756e-01,2.27228710e-12,2.26768135e-01,1.96044706e-15,5.63424109e-01
4.60000000e-08,6.06427116e-15,2.09797642e-01,2.58064758e-12,2.26775113e-01,2.37819857e-15,5.63427245e-01
5.05000000e-08,6.06436469e-15,2.09788272e-01,2.90197364e-12,2.26781579e-01,2.84053671e-15,5.63430150e-01
5.50000000e-08,6.06447124e-15,2.09779587e-01,3.23549894e-12,2.26787571e-01,3.34841592e-15,5.63432841e-01
5.95000000e-08,6.06454884e-15,2.09771535e-01,3.58049413e-12,2.26793128e-01,3.90272409e-15,5.63435337e-01
6.40000000e-08,6.06469689e-15,2.09764067e-01,3.93626609e-12,2.26798282e-01,4.50429084e-15,5.63437651e-01
6.85000000e-08,6.06474452e-15,2.09757137e-01,4.30215747e-12,2.26803065e-01,5.15389454e-15,5.63439798e-01
7.30000000e-08,6.06483645e-15,2.09750705e-01,4.67754560e-12,2.26807504e-01,5.85226831e-15,5.63441791e-01
7.75000000e-08,6.06494526e-15,2.09744734e-01,5.06184149e-12,2.26811626e-01,6.60010493e-15,5.63443640e-01
8.20000000e-08,6.06503240e-15,2.09739188e-01,5.45448870e-12,2.26815454e-01,7.39806116e-15,5.63445358e-01
8.65000000e-08,6.06514512e-15,2.09734037e-01,5.85496208e-12,2.26819010e-01,8.24676132e-15,5.63446953e-01
9.10000000e-08,6.06525241e-15,2.09729250e-01,6.26276651e-12,2.26822315e-01,9.14680029e-15,5.63448435e-01
9.55000000e-08,6.06536337e-15,2.09724802e-01,6.67743562e-12,2.26825385e-01,1.00987461e-14,5.63449813e-01
1.00000000e-07,6.06548556e-15,2.09720667e-01,7.09853047e-12,2.26828240e-01,1.11031421e-14,5.63451093e-01
1.45000000e-07,5.77312436e-15,2.09692309e-01,1.15834117e-11,2.26847820e-01,2.41367363e-14,5.63459870e-01
1.90000000e-07,5.79369430e-15,2.09678472e-01,1.63854404e-11,2.26857376e-01,4.28766416e-14,5.63464152e-01
2.35000000e-07,5.79565293e-15,2.09671676e-01,2.13465870e-11,2.26862070e-01,6.76086717e-14,5.63466254e-01
2.80000000e-07,5.79846451e-15,2.09668328e-01,2.63869469e-11,2.26864382e-01,9.85184057e-14,5.63467290e-01
