run_no,time(s),Temperature(K),Pressure(atm),y_C2H6,y_C2H4,y_CH4,y_H2,y_CO2,y_CO,y_H2O
run_0,0.0,835.0,1.0,0.0005,0.0,0.0,0.0005,0.0005000000000000001,0.0,0.0
run_0,1.0,835.0,1.0,0.0004709936546287048,1.7139441107336926e-05,2.3733808527916505e-05,0.00048623169176201047,0.00048095915491863195,1.9040845081368213e-05,1.9040845081368213e-05
run_0,2.0,835.0,1.0,0.0004451591312530299,3.195832402225828e-05,4.576508944942357e-05,0.0004723063063416268,0.0004632305270440804,3.6769472955919755e-05,3.6769472955919755e-05
run_0,3.0,835.0,1.0,0.00042266991173247324,4.4340948601974246e-05,6.597827933110494e-05,0.0004583126083510168,0.0004469607994145952,5.303920058540494e-05,5.303920058540494e-05
run_0,4.0,835.0,1.0,0.0004027659507059976,5.4897012925512284e-05,8.467407273698009e-05,0.0004447248482380285,0.0004321648716810065,6.783512831899371e-05,6.783512831899371e-05
run_0,5.0,835.0,1.0,0.0003854052583529499,6.366389077082871e-05,0.00010186170175244271,0.0004315993067963772,0.00041886626690177,8.113373309823016e-05,8.113373309823016e-05
run_0,6.0,835.0,1.0,0.0003694649404851935,7.150996331163487e-05,0.0001180501924063431,0.00041937262061838567,0.00040688775350992246,9.311224649007766e-05,9.311224649007766e-05
run_0,7.0,835.0,1.0,0.0003554172890917257,7.806860871267996e-05,0.00013302820439118842,0.0004078482746679082,0.0003962937681508226,0.00010370623184917754,0.00010370623184917754
run_0,8.0,835.0,1.0,0.00034289246909164435,8.361502145747175e-05,0.00014698501890176766,0.0003970691639924633,0.0003869466519858755,0.00011305334801412463,0.00011305334801412463
run_0,9.0,835.0,1.0,0.0003315244282396412,8.842462575520288e-05,0.00016010189201031176,0.0003871061548567873,0.0003787324751067404,0.00012126752489325972,0.00012126752489325972
run_0,10.0,835.0,1.0,0.0003209762989975394,9.274993965152536e-05,0.00017254752270187037,0.0003780189816968626,0.00037154280339627256,0.00012845719660372753,0.00012845719660372753
run_1,0.0,848.0,1.0,0.0005,0.0,0.0,0.0004999999999999999,0.0005,0.0,0.0
run_1,1.0,848.0,1.0,0.00046263249558551884,2.2404827944463725e-05,2.9925352940034758e-05,0.0004853321766073408,0.0004778900251328943,2.2109974867105608e-05,2.2109974867105608e-05
