,0,mean,std
N(S),3.9676747423066985,3.9676747423066985,0.0
H(S),-12.79675506557842,-12.79675506557842,0.0
NH2(S),10.273875931979262,10.273875931979262,0.0
TS4_N2(S),-16.976674273681603,-16.976674273681603,0.0
