,Run No,Loss,Reg. Loss,Repeat,N(S),H(S),NH2(S),TS4_N2(S)
0,1,1.2088472228880347,0.01293936131527011,0,-15.82977995297426,-9.076614052312022,-19.998856251826552,6.852195003967594
1,2,0.4414134230405541,0.0110037450033865,0,3.9676747423066985,-12.79675506557842,10.273875931979262,-16.976674273681603
2,3,1.1981084571424991,0.00969067035496744,0,-8.532441091828868,5.388167340033569,-8.137397886223292,16.70467510178402
3,4,0.9383830015421364,0.010390508683706775,0,12.044522497315178,18.78117436390945,4.191945144032946,-6.5443927295695214
4,5,0.5659215564784754,0.015302522182464596,0,7.378347396850586,-17.292896270751953,16.53884506225586,-20.0
