run_no,time(s),Temperature(K),Pressure(atm),y_C2H6,y_C2H4,y_CH4,y_H2,y_CO2,y_CO,y_H2O
0,0.0,835.0,1.0,0.005,0.0,0.0,0.005,0.005,0.0,0.0
0,1.0,835.0,1.0,0.004017580488560397,0.0001135703102792522,0.0017376984023207008,0.003072034557762346,0.003827313448643443,0.0011726865513565566,0.0011726865513565566
0,2.0,835.0,1.0,0.0034678212934966257,0.00016748667100119854,0.0027293840710043505,0.002349973057478432,0.003547178421979408,0.0014528215780205917,0.0014528215780205917
0,3.0,835.0,1.0,0.0030827191770731797,0.00019924579441255583,0.0034360700570285284,0.00200501359312873,0.003523802827230438,0.001476197172769561,0.001476197172769561
0,4.0,835.0,1.0,0.002785981616850442,0.00021889721241157896,0.0039902423414759575,0.001786878193317003,0.003563102151643402,0.0014368978483565967,0.0014368978483565967
0,5.0,835.0,1.0,0.0025468435791576806,0.000231324010325894,0.004443664821032852,0.0016229330306592232,0.0036134414308497545,0.0013865585691502447,0.0013865585691502447
0,6.0,835.0,1.0,0.002348564035184399,0.0002394952873631848,0.004823881354904834,0.0014897944340027097,0.0036622398240919404,0.0013377601759080586,0.0013377601759080586
0,7.0,835.0,1.0,0.0021808196447816444,0.00024511554979970675,0.005148129610837299,0.0013782000991266598,0.0037071493547456012,0.0012928506452543982,0.0012928506452543982
0,8.0,835.0,1.0,0.0020366193194470967,0.0002491466229191679,0.005428468115267472,0.0012828599797321141,0.0037479474144466807,0.0012520525855533183,0.0012520525855533183
0,9.0,835.0,1.0,0.0019111521636179204,0.0002521375169137295,0.0056734206389367015,0.0012004875982759013,0.0037850604008305214,0.0012149395991694783,0.0012149395991694783
0,10.0,835.0,1.0,0.0018009433982908722,0.0002544131359297064,0.0058892869315588445,0.001128583782071031,0.003818814111920745,0.0011811858880792542,0.0011811858880792542
1,0.0,848.0,1.0,0.005,0.0,0.0,0.005,0.005,0.0,0.0
1,1.0,848.0,1.0,0.00381404177426821,0.0001493693808025571,0.0020731776898584666,0.00285103523502006,0.003738254699146735,0.0012617453008532645,0.0012617453008532645
1,2.0,848.0,1.0,0.003198735061360638,0.00022075919457470637,0.003161011488129312,0.0021457516986086527,0.0035054982480986012,0.0014945017519013984,0.0014945017519013984
1,3.0,848.0,1.0,0.0027828461030593187,0.0002623177639329918,0.0039096722660153784,0.0018214542108795717,0.0035139725799542684,0.001486027420045731,0.001486027420045731
1,4.0,848.0,1.0,0.002471672852277889,0.0002873405942644568,0.004481973106915307,0.001614196457180946,0.0035678424163741412,0.0014321575836258578,0.0014321575836258578
1,5.0,848.0,1.0,0.002226786260918883,0.00030287439357126815,0.004940678691019697,0.0014579664651639867,0.003625431417102566,0.0013745685828974335,0.0013745685828974335
1,6.0,848.0,1.0,0.0020281037253546685,0.0003127604650909993,0.005318271619108662,0.0013321228718511035,0.0036784982163144348,0.0013215017836855647,0.0013215017836855647
1,7.0,848.0,1.0,0.0018632288932544816,0.0003191993125203599,0.005635143588450314,0.001227617304972332,0.0037259897866771287,0.0012740102133228708,0.0012740102133228708
1,8.0,848.0,1.0,0.0017237712597478467,0.00032348230475184685,0.005905492871000611,0.001139212436431096,0.003768476567179554,0.0012315234328204455,0.0012315234328204455
1,9.0,848.0,1.0,0.0016042257308777062,0.00032633474202964407,0.006138879054185298,0.0010635384494976127,0.0038066432345606168,0.0011933567654393827,0.0011933567654393827
1,10.0,848.0,1.0,0.001500532710336224,0.0003282067242963629,0.006342521130734824,0.0009979583189180933,0.0038410121599891417,0.0011589878400108575,0.0011589878400108575
2,0.0,861.0,1.0,0.005,0.0,0.0,0.004999999999999999,0.005,0.0,0.0
2,1.0,861.0,1.0,0.0035883913686878097,0.00019355755898656,0.0024361021446512596,0.002633183729638024,0.003657677242977095,0.0013423227570229055,0.0013423227570229055
