,DRC-Expt-0,DRC-Expt-1,DRC-Expt-2,DRC-Expt-3,DRC-Expt-4,mean_DRC,min_DRC,max_DRC
CH3CH3+PtCu111(*)=CH3CH3*,-3.7636969722675455,0.006388095735807796,-0.0010585500006277525,-0.0006591874659293326,-0.04388040636858539,-0.760581404073376,-3.7636969722675455,0.006388095735807796
CH3CH2Cl+PtCu111(*)=CH3CH2Cl*,0.0002777865021984981,0.026582212791653098,0.002117099788082026,-0.0003489816121492631,0.021186052049769803,0.009962833903910832,-0.0003489816121492631,0.026582212791653098
ClCH2CH2Cl+PtCu111(*)=ClCH2CH2Cl*,-9.259552441877477e-05,0.005462717623284693,0.0009997416198876598,-0.00017449080607463154,-0.04100770607949884,-0.00696246663336398,-0.04100770607949884,0.005462717623284693
CH2CH2+PtCu111(*)=CH2CH2*,-0.002129696919516167,0.0006119438885239044,0.00152901654914371,-0.00036836945580494675,0.03131225089482479,0.006191028991434258,-0.002129696919516167,0.03131225089482479
CH2CHCl+PtCu111(*)=CH2CHCl*,0.0002777865021984981,0.025447880614160097,-0.0022347168337935163,-0.0012989871592608078,0.018241552588151713,0.008086703142291197,-0.0022347168337935163,0.025447880614160097
ClCHCHCl+PtCu111(*)=ClCHCHCl*,0.000925955031014269,0.01774635876880146,0.0014702082394614435,-0.0008724540303731577,0.006463546072624548,0.0051467228163057125,-0.0008724540303731577,0.01774635876880146
CHCH+PtCu111(*)=CHCH*,0.001203741533212767,0.016776205414582697,0.00011761669042235902,-0.00031020585378006957,0.034903099023271066,0.010538091361541765,-0.00031020585378006957,0.034903099023271066
CHCCl+PtCu111(*)=CHCCl*,0.0002777865021984981,0.018671735744399343,0.00011761669042235902,0.00021326656444382508,0.01795428427173667,0.0074469379546401385,0.00011761669042235902,0.018671735744399343
ClCCCl+PtCu111(*)=ClCCCl*,-0.00018519104883754953,0.016089635246852835,0.0006468916196784091,-3.87756873113673e-05,-0.04330586625392182,-0.005358661224707899,-0.04330586625392182,0.016089635246852835
H2+2PtCu111(*)=2H*,-0.00101855062649087,0.02316429042065873,-0.0005880833099961427,-0.0008142904283482805,0.009408049016076123,0.006030283014379913,-0.00101855062649087,0.02316429042065873
