,Run No,Loss,Repeat,a,b
79,80,0.19651196950241698,0,0.9664998187607727,99.99811785557779
80,81,0.12468687106720784,0,1.0433947021866845,99.99421812583012
81,82,0.18059916980398902,0,1.0413270073287477,99.99950984850568
82,83,0.09901298815645318,0,0.9810517175027802,99.99945459869849
83,84,0.2009725352088354,0,0.9332606315608833,100.00602781468751
84,85,0.09985474952071459,0,1.0101555149867956,100.00212808493984
85,86,0.14855326756746323,0,0.9478125303028913,100.00736455780822
86,87,0.05579815699550293,0,1.0194991592157363,99.99750473382464
87,88,0.17976356370504085,0,0.9903953617317209,99.9948312475833
88,89,0.031007099576524373,0,1.005215476673027,100.00030387560071
89,90,0.1685858179006913,0,1.0436629183859831,99.99835401072687
90,91,0.035832745855111335,0,0.9967045177235809,99.99917945170559
91,92,0.05065500940740962,0,0.9824208351808714,100.00197859348164
92,93,0.024418402453534993,0,0.9916904161895876,100.00086012856738
93,94,0.05569490681659857,0,1.0002013751390337,100.0019845524625
94,95,0.013854501286818085,0,0.9975787320774441,99.99988072689482
95,96,0.0639787185352485,0,0.9840536715940047,100.00043697986149
96,97,0.009070989048849834,0,0.9999250254032714,100.0003371516659
97,98,0.01688863209739281,0,1.0058133412911279,99.99935774999332
98,99,0.006563852883190636,0,1.002282610015743,99.99973334463682
99,100,0.0255977108508479,0,1.0046289033415705,100.00018976940791
100,101,0.004001944142095505,0,0.9993412748934757,99.99995798752309
101,102,0.012730475080242824,0,1.0016988595059473,99.999354180494
102,103,0.003998457427759301,0,1.0003684839289404,100.00009140887292
103,104,0.007349868641344548,0,0.9974271488066733,100.00031605175919
104,105,0.0030879524006599394,0,1.0010687447134754,99.99987902141741
105,106,0.009898980980880535,0,1.00209595374894,100.00001244276723
106,107,0.0006841608817121043,0,1.0000299446073417,99.99997160133412
107,108,0.004546045848372017,0,1.0007302053918767,99.9997592138786
108,109,0.002293192550824266,0,1.0004589142946745,100.00000836012434
109,110,0.001798948637866564,0,0.9994201141885406,100.00010094004104
110,111,0.0034209159364824945,0,0.9989911445012079,100.00006418125083
111,112,0.000984628127601271,0,1.0000919718463077,100.00002231540597
112,113,0.00204875605026923,0,1.0007018022651089,99.99989297669906
113,114,0.000851721327325235,0,0.9997405362076827,100.00004894920554
0,1,2451.3275186705077,1,2.119833846890394,188.33155141239598
1,2,2451.853824173709,1,2.225825539234914,188.33155141239598
2,3,2712.1433501980655,1,2.119833846890394,197.7481289830158
3,4,2191.0381527484196,1,2.225825539234914,178.91497384177617
4,5,1930.4907955624853,1,2.2788213854071735,169.4983962711563
5,6,1929.9577055292696,1,2.1728296930626536,169.4983962711563
6,7,1669.0110094953598,1,2.1463317699765234,160.08181870053647
7,8,1148.1816141076752,1,2.305319308493303,141.2486635592968
8,9,496.63700941844496,1,2.398062039294757,117.70721963274718
9,10,235.15660028325755,1,2.265572423864107,108.29064206212735
